A2;de;en
Europa;Europe
der Hahn;the rooster
der Sänger;the male singer
der Verwandte;the male relative
die Rente;the pension
der Stall;the stable, stall
die Verwandte;the female relative
die Länge;the length
das Missverständnis;the misunderstanding
die Haltung;the stance, attitude, posture
die Medien;the media
die Frisur;the hairstyle
die Zeugin;the female witness
die Eifersucht;the jealousy
der Honig;the honey
empfinden;to feel, sense
der Geisteskranker;the lunatic
der Detektiv;the detective
harmlos;harmless
das Kleingeld;the change
Polen;Poland
hilfreich;helpful
empfehlen;to recommend
fremd;foreign
selbe;same
das Werkzeug;the tool
zurückziehen;to withdraw sth, retract sth, pull sth back, take sth back
der Tabak;the tobacco
die Gestalt;the shape, figure form
der Kredit;the credit
umgekehrt;conversely, vice versa, inversely
wertvoll;valuable
bestrafen;to punish
Schweden;Sweden
der Rollstuhl;the wheelchair
das Metall;the metal
der Geschäftsmann;the businessman
unsicher;unsure
verwandt;related
der Apfel;the apple
der Krach;the noise, racket, row
die Orange;the orange
die CD;the compact disc
öffentlich;public
die Feuerwehr;the fire brigade
verschieben;to postpone
orange;orange
überqueren;to cross, go across
das Gramm;the gram
